,Unnamed: 0,Unnamed: 0.1,name,epochs,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,act_layer,optimizer,activation,batch_size,num_layers,weight_decay,learning_rate,dropout,validation_split,layer_7,layer_8,layer_9,layer_10,lr,MSE,loss,_step,epoch,graph,MSE_diff,_runtime,val_loss,MSE_train,_timestamp,best_epoch,best_val_loss,RMSPE,num_nodes_total
22,22,22,feasible-sweep-129,1000.0,588,413,669,674,952,924,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003445878,0.001958429,142.0,141.0,"{'path': 'media/graph/graph_summary_cccfa0db.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'cccfa0dbee92732091e3153837ad162810220b9028f4c41ad229914c361cef64'}",0.0006271580000000001,13.52681708,0.011559922,0.002818721,1588268469.0,41.0,0.007473039,5.870160134101965,4220.0
23,23,23,fanciful-sweep-128,1000.0,748,472,735,579,975,890,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.00325032,0.001834332,151.0,150.0,"{'path': 'media/graph/graph_summary_3289ea6b.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '3289ea6bb40ebfed83931f316415bc4a991a390cc485cf667f491d6b4aaf64fd'}",0.000739435,13.58167052,0.009601307,0.002510885,1588268441.0,50.0,0.00730591,5.70115777715369,4399.0
24,24,24,helpful-sweep-127,1000.0,722,401,624,624,991,947,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.0033488740000000004,0.0015436520000000002,144.0,143.0,"{'path': 'media/graph/graph_summary_1d1bfb02.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '1d1bfb02a398612b6ce8507af03402dbded53a680ce1c48ee458fcb62fa644c2'}",0.0008857460000000002,13.17176676,0.009049052,0.002463128,1588268412.0,43.0,0.006692409,5.786945653797002,4309.0
25,25,25,hopeful-sweep-126,1000.0,635,298,640,404,950,854,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000439335,0.00216314,0.001504465,164.0,163.0,"{'path': 'media/graph/graph_summary_5aa96422.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '5aa964226a6a584a356e0def9ad62a0b07a051b6d80bf4e28274ad4a85217a68'}",1e-05,12.9244287,0.008697851999999999,0.002153138,1588268383.0,63.0,0.006705308,4.6509568907914,3781.0
26,26,26,rare-sweep-125,1000.0,747,380,644,556,993,811,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.0027736,0.00177822,157.0,156.0,"{'path': 'media/graph/graph_summary_3bdc8b96.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '3bdc8b964ccd1656698e730844a871b486c5d2cb7eb19bfb07cf24f2ecb9e593'}",0.000507746,14.20101428,0.00610931,0.002265854,1588268351.0,56.0,0.005834138000000001,5.2664978875909565,4131.0
27,27,27,sparkling-sweep-124,1000.0,539,399,739,640,956,861,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000395401,0.003147361,0.001916397,145.0,144.0,"{'path': 'media/graph/graph_summary_35a9171a.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '35a9171aec4bebf67e8cb2d1ffdb5dee810cf342484def8d2905e5814b085e9e'}",0.000167675,12.69005489,0.010848796,0.002979686,1588268322.0,44.0,0.007835705,5.610134579490941,4134.0
28,28,28,comic-sweep-123,1000.0,572,289,667,548,971,970,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003051764,0.0016860470000000002,148.0,147.0,"{'path': 'media/graph/graph_summary_fd3b8ccf.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'fd3b8ccf9ac275fde88810d7f80326b476819a59e9b91f19ec852ad1555487cb'}",0.000438278,12.55641341,0.009598287,0.002613486,1588268293.0,47.0,0.006942518000000001,5.52427732830277,4017.0
29,29,29,graceful-sweep-122,1000.0,737,416,683,481,996,924,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000355861,0.002271116,0.001657737,193.0,192.0,"{'path': 'media/graph/graph_summary_9468593b.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '9468593bf90e6490ea43ca4468b539b33ffdca347df03caea901e9a0e7a6bc31'}",0.000251516,15.49854374,0.00730601,0.0020196,1588268267.0,92.0,0.006405056,4.7656227295076565,4237.0
30,30,30,celestial-sweep-121,1000.0,508,367,550,603,985,825,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000189119,0.003382551,0.002148995,287.0,286.0,"{'path': 'media/graph/graph_summary_f2d4b052.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': 'f2d4b052d205f228241827c1c9c956656c3555a83c40c890160ccafb26fd3c44'}",0.001023316,19.43700743,0.00688492,0.002359234,1588268237.0,186.0,0.006187659,5.815970254394361,3838.0
31,31,31,vague-sweep-120,1000.0,722,273,686,430,980,820,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000542389,0.003178892,0.0017360370000000002,142.0,141.0,"{'path': 'media/graph/graph_summary_4c86eb5f.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '4c86eb5f4ab0442eab33368f56cde7a24571b36051a7a27e1b5c8c4b2328c2fe'}",0.000734055,12.19837022,0.0075105569999999984,0.002444836,1588268202.0,41.0,0.0060471990000000005,5.638166368598926,3911.0
32,32,32,fresh-sweep-119,1000.0,670,351,688,616,986,974,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.000395401,0.002850498,0.00202013,151.0,150.0,"{'path': 'media/graph/graph_summary_198a542f.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '198a542f6ae51d747529f0f0edd9b93cde995299e9ca8e93a49750b575e2ca49'}",0.0002216,13.15381503,0.009892317,0.002628898,1588268173.0,50.0,0.007190332,5.339005525376425,4285.0
33,33,33,expert-sweep-118,1000.0,596,408,543,552,993,857,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,8.14e-05,0.003857823,0.002892164,352.0,351.0,"{'path': 'media/graph/graph_summary_64060c10.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '64060c1092f50b67fcc52493e0ec4e39bd3f140c940b324b52ba91d31cdb406a'}",0.0006699760000000001,21.71092582,0.007124559,0.003187847,1588268143.0,251.0,0.006658816999999999,6.211137576966074,3949.0
34,34,34,efficient-sweep-117,1000.0,607,252,512,422,993,816,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.0031557390000000003,0.001884807,144.0,143.0,"{'path': 'media/graph/graph_summary_7d2198f7.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '7d2198f70affb847d5692b87f9c7f38c2d3967291ebc78c54455a7833ad0525b'}",0.000306365,11.90415835,0.013184679,0.002849375,1588268105.0,43.0,0.008233741,5.617596461121073,3602.0
35,35,35,misty-sweep-116,1000.0,658,353,680,489,995,941,relu,adam,relu,128.0,6,0.0005,0.001,,,,,,,0.00048815,0.003093287,0.0017959979999999996,152.0,151.0,"{'path': 'media/graph/graph_summary_47ec6885.graph.json', 'size': 1133, '_type': 'graph-file', 'sha256': '47ec68856d8c41a192fe19af7edab8fb0fd13663c07e866c1856f9dc976741c5'}",0.000594281,13.01518536,0.008130252,0.002499006,1588268077.0,51.0,0.006177381,5.561732643700163,4116.0
